username,date,text
tribunkaltim,2023-01-15 22:41:25,"Kuat Ma'ruf dan Ricky Rizal mengaku siap, sidang tuntutan kasus pembunuhan Brigadir J akan digelar hari ini
https://t.co/I3L5JhlBmr
#sambo #ferdysambo #bharadae #brigadirj #beritaterkini #beritaterbaru"
magalitorre02,2023-01-15 20:15:37,"SANGAT TERAMAT TDK MUNGKIN jika kematian #brigadirJ di sebabkan krn dia katanya memperkosa PC. Yg terjadi kemungkinan adlh Alm. Josua mengetahui rahasia besar #ferdysambo #PutriCandrawathi But, what was the secret about? Dinero, kah? #konsorsium303 #followthemoney https://t.co/tDJG0kd5jI"
magalitorre02,2023-01-15 19:51:30,"Ketika #ferdysambo masih bahagia ❗ #brigadirJ
https://t.co/cIqyrKATJY via @YouTube"
giberakata,2023-01-15 19:12:32,"Ibu-ibu Fans Bharada E Rebutan Masuk Ruang Sidang, Saling Dorong Sampai Sepatu Lepas https://t.co/8UOktllmEX #RichardEliezer #BharadaE #Viral #Tiktok"
wahananewsdotco,2023-01-15 19:12:07,"Ibu-ibu Fans Bharada E Rebutan Masuk Ruang Sidang, Saling Dorong Sampai Sepatu Lepas https://t.co/8UOktllmEX #RichardEliezer #BharadaE #Viral #Tiktok"
magalitorre02,2023-01-15 17:38:36,"#brigadirJ #ferdysambo #putricandrawati 
Romer...terlibat?? 
https://t.co/HyQ1L6XLuU"
tribunkaltim,2023-01-15 12:09:53,"Jadwal Sidang Tuntutan 5 Terdakwa Pembunuhan Brigadir J: Kuat Maruf Senin Besok, Ferdy Sambo Kapan?

#Sidang #ferdysambo #terdakwa #brigadirJ 
 
https://t.co/oYQ2XiWjyy lewat @tribunkaltim"
portalyogya,2023-01-15 11:31:29,"Putri Candrawathi mengungkapkan responsnya usai mendengar Brigadir Joshua dibunuh. Hakim menyinggung Putri kepikiran rekening.

#portalyogya #PutriCandrawathi #FerdySambo #BrigadirJoshua

https://t.co/gHGRtBia66"
TVTempoChannel,2023-01-15 10:30:00,"FOKUS | VIDEO REPLAY
Sengkarut Kasus Ferdy Sambo
https://t.co/XkqVrBty66

#ferdysambo #brigadirj #bharadae #kapolri https://t.co/OdpmzHvKzp"
magalitorre02,2023-01-15 07:21:38,"REZA INDRAGIRI AMRIL mem-profiling majelis hakim sehubungan dengan kemungkinan keputusan vonis yang akan mrk buat terhadap #ferdysambo or #PutriCandrawathi.
https://t.co/arZAHt67i2"
NgebutMautC84,2023-01-15 07:09:36,"https://t.co/QPmHZG5M9w

Eksklusif!! 
 
Ayah Brigadir Joshua : Hukuman Tuhan Yang Paling Berat Untuk Sambo!!

Hanya di Channel Youtube Abraham Samad SPEAK UP

Jangan lupa subcribe, comment , like n share. Terima kasih 

#abrahamsamad #abrahamsamadspeakup #brigadirj https://t.co/PKZpiL1MiD"
tribunjambiku,2023-01-15 05:48:35,"Nilai Ferdy Sambo Cs Konsisten Berbohong, Keluarga Brigadir Yosua Berharap Jaksa Tuntut Pasal 340
 
https://t.co/ndAwJUXNNQ via @tribunjambiku 

#ferdysambo #putricandrawathi #brigadiryosua"
terkinidotid,2023-01-15 05:29:33,"Putri Candrawathi Nangis di Sidang, Ayah Brigadir J: Drama, Itu Untuk Ambil Simpati Hakim dan Jaksa: Ayah dari Brigadir Nofriansyah Yosua Hutabarat atau Brigadir J, Samuel Hutabarat menyebut tangisan… https://t.co/c6xqpRsSiU #News #brigadirj #putricandrawathi #ferdysambo"
OfficialiNewsTV,2023-01-15 04:40:00,"Jaksa Penuntut Umum (JPU) mempertanyakan alasan pertemuan Chuck Putranto dan Irfan Widyanto di rumah dinas Ferdy Sambo pascapembunuhan Brigadir J. Chuck mengaku mendapat perintah dari Ferdy Sambo untuk mengamankan CCTV. YLD

#iNews #News #FerdySambo #BrigadirJ https://t.co/h8UFdqsBZn"
magalitorre02,2023-01-15 04:36:24,"Menurut anda, vonis apa yang pantas bagi #ferdysambo sebagai terdakwa dalam persidangan kasus pembunuhan terhadap Alm.#brigadirJ ?"
OfficialiNewsTV,2023-01-15 03:40:00,"Ferdy Sambo mengeklaim Putri Candrawathi tidak mengetahui Brigadir J ditembak saat ke rumah Duren Tiga. Menurutnya, Putri baru diberitahu terkait kematian Brigadir J sehari setelah Brigadir J ditembak. YLD

#iNews #News #FerdySambo #PutriCandrawathi #BrigadirJ https://t.co/7HQaZ1sDAy"
