username,date,text,remove_user,remove_http,tweet_clean,Tweet
terkinidotid,2023-01-10 13:07:33,"Ditanya Pengacara Soal Anak-anaknya, Sambo Tak Bisa Jawab: Saya Tidak Kuat: Ferdy Sambo tidak bisa menjawab pertanyaan soal anak-anaknya yang dilontarkan oleh pengacaranya sendiri, Rasamala… https://t.co/8YxRHRgIDo #News #brigadirj #ferdysambo #anakferdysambo #rasamalaaritonang","Ditanya Pengacara Soal Anak-anaknya, Sambo Tak Bisa Jawab: Saya Tidak Kuat: Ferdy Sambo tidak bisa menjawab pertanyaan soal anak-anaknya yang dilontarkan oleh pengacaranya sendiri, Rasamala… https://t.co/8YxRHRgIDo #News #brigadirj #ferdysambo #anakferdysambo #rasamalaaritonang","Ditanya Pengacara Soal Anak-anaknya, Sambo Tak Bisa Jawab: Saya Tidak Kuat: Ferdy Sambo tidak bisa menjawab pertanyaan soal anak-anaknya yang dilontarkan oleh pengacaranya sendiri, Rasamala… https://t.co/YxRHRgIDo News brigadirj ferdysambo anakferdysambo rasamalaaritonang","['acara', 'anak', 'sambo', 'kuat', 'ferdy', 'sambo', 'anak', 'lontar', 'acara', 'rasamala', '']",acara anak sambo kuat ferdy sambo anak lontar acara rasamala
TribunLombokcom,2023-01-12 09:56:06,"Adik Brigadir J,Reza, dan Putri Candrawathi tampak saling bertukar pesan hampir setiap hari. Putri Candrawathi sering chat menyuruhkan main ke rumah.
#PutriCandrawathi #BrigadirJ #BrigadirYosua #FerdySambo #YosuaHutabarat #ChuckPutranto
https://t.co/NP2Cal8i72","Adik Brigadir J,Reza, dan Putri Candrawathi tampak saling bertukar pesan hampir setiap hari. Putri Candrawathi sering chat menyuruhkan main ke rumah.
#PutriCandrawathi #BrigadirJ #BrigadirYosua #FerdySambo #YosuaHutabarat #ChuckPutranto
https://t.co/NP2Cal8i72","Adik Brigadir J,Reza, dan Putri Candrawathi tampak saling bertukar pesan hampir setiap hari. Putri Candrawathi sering chat menyuruhkan main ke rumah.
PutriCandrawathi BrigadirJ BrigadirYosua FerdySambo YosuaHutabarat ChuckPutranto
https://t.co/NPCali","['adik', 'brigadir', 'jreza', 'putri', 'candrawathi', 'tukar', 'pesan', 'putri', 'candrawathi', 'chat', 'suruh', 'main', 'rumah', 'putricandrawathi', 'brigadirj', 'brigadiryosua', 'ferdysambo', 'yosuahutabarat', 'chuckputranto']",adik brigadir jreza putri candrawathi tukar pesan putri candrawathi chat suruh main rumah putricandrawathi brigadirj brigadiryosua ferdysambo yosuahutabarat chuckputranto
Metro_TV,2023-01-13 15:01:21,"Pengadilan Negeri Jakarta Selatan menggelar pemeriksaan terdakwa kasus obstruction of justice kasus pembunuhan Brigadir J. Dapatkah pengakuan para terdakwa dipercaya? 

https://t.co/dV4d769hKL

#sidangferdysambocs 
#alifrachman #kasusferdysambo #brigadirj #breakingnewsmetrotv https://t.co/q76oCzl22r","Pengadilan Negeri Jakarta Selatan menggelar pemeriksaan terdakwa kasus obstruction of justice kasus pembunuhan Brigadir J. Dapatkah pengakuan para terdakwa dipercaya? 

https://t.co/dV4d769hKL

#sidangferdysambocs 
#alifrachman #kasusferdysambo #brigadirj #breakingnewsmetrotv https://t.co/q76oCzl22r","Pengadilan Negeri Jakarta Selatan menggelar pemeriksaan terdakwa kasus obstruction of justice kasus pembunuhan Brigadir J. Dapatkah pengakuan para terdakwa dipercaya? 

https://t.co/dVdhKL

sidangferdysambocs 
alifrachman kasusferdysambo brigadirj breakingnewsmetrotv https://t.co/qoCzlr","['adil', 'negeri', 'jakarta', 'selatan', 'gelar', 'periksa', 'dakwa', 'obstruction', 'of', 'justice', 'bunuh', 'brigadir', 'j', 'dapat', 'aku', 'dakwa', 'percaya', 'sidangferdysambocs', 'alifrachman', 'kasusferdysambo', 'brigadirj', 'breakingnewsmetrotv']",adil negeri jakarta selatan gelar periksa dakwa obstruction of justice bunuh brigadir j dapat aku dakwa percaya sidangferdysambocs alifrachman kasusferdysambo brigadirj breakingnewsmetrotv
ForumTerkini,2023-01-09 04:52:18,"Pengadilan Negeri Jakarta Selatan kembali menggelar sidang  lanjutan terhadap terdakwa pembunuhan berencana Brigadir J, pada Senin (9/1). 

#forumterkininews #akuratmenyajikaninformasi #pengadilannegerijakartaselatan #brigadirj #kuatmaruf #djuyamto #ferdysambo #PutriCandrawathi https://t.co/5k3jWcZfpQ","Pengadilan Negeri Jakarta Selatan kembali menggelar sidang  lanjutan terhadap terdakwa pembunuhan berencana Brigadir J, pada Senin (9/1). 

#forumterkininews #akuratmenyajikaninformasi #pengadilannegerijakartaselatan #brigadirj #kuatmaruf #djuyamto #ferdysambo #PutriCandrawathi https://t.co/5k3jWcZfpQ","Pengadilan Negeri Jakarta Selatan kembali menggelar sidang  lanjutan terhadap terdakwa pembunuhan berencana Brigadir J, pada Senin (/). 

forumterkininews akuratmenyajikaninformasi pengadilannegerijakartaselatan brigadirj kuatmaruf djuyamto ferdysambo PutriCandrawathi https://t.co/kjWcZfpQ","['adil', 'negeri', 'jakarta', 'selatan', 'gelar', 'sidang', 'lanjut', 'dakwa', 'bunuh', 'rencana', 'brigadir', 'j', 'senin', 'forumterkininews', 'akuratmenyajikaninformasi', 'pengadilannegerijakartaselatan', 'brigadirj', 'kuatmaruf', 'djuyamto', 'ferdysambo', 'putricandrawathi']",adil negeri jakarta selatan gelar sidang lanjut dakwa bunuh rencana brigadir j senin forumterkininews akuratmenyajikaninformasi pengadilannegerijakartaselatan brigadirj kuatmaruf djuyamto ferdysambo putricandrawathi
newsmerahputih,2023-01-12 13:05:00,"Ahli ITE bersaksi pada sidang pembunuhan Brigadir J. 

#merahputihcom #ferdysambo #brigadirj #kasuspembunuhan #PutriCandrawathi

https://t.co/HLd8yZf6bo","Ahli ITE bersaksi pada sidang pembunuhan Brigadir J. 

#merahputihcom #ferdysambo #brigadirj #kasuspembunuhan #PutriCandrawathi

https://t.co/HLd8yZf6bo","Ahli ITE bersaksi pada sidang pembunuhan Brigadir J. 

merahputihcom ferdysambo brigadirj kasuspembunuhan PutriCandrawathi

https://t.co/HLdyZfbo","['ahli', 'ite', 'saksi', 'sidang', 'bunuh', 'brigadir', 'j', 'merahputihcom', 'ferdysambo', 'brigadirj', 'kasuspembunuhan', 'putricandrawathi']",ahli ite saksi sidang bunuh brigadir j merahputihcom ferdysambo brigadirj kasuspembunuhan putricandrawathi
magalitorre02,2023-01-11 05:49:25,"Akting #PutriCandrawathi di persidangan hari ini perlu di ganjar dgn Piala Citra sbg pemeran wanita terbaik 2022/2023. She shows up at the court w/ puffy eyes &amp; very visible under eye bags. A lot of tears, too (of course). Her last best shot.. #brigadirJ https://t.co/zOlfI4Eocc","Akting #PutriCandrawathi di persidangan hari ini perlu di ganjar dgn Piala Citra sbg pemeran wanita terbaik 2022/2023. She shows up at the court w/ puffy eyes &amp; very visible under eye bags. A lot of tears, too (of course). Her last best shot.. #brigadirJ https://t.co/zOlfI4Eocc","Akting PutriCandrawathi di persidangan hari ini perlu di ganjar dgn Piala Citra sbg pemeran wanita terbaik /. She shows up at the court w/ puffy eyes &amp; very visible under eye bags. A lot of tears, too (of course). Her last best shot.. brigadirJ https://t.co/zOlfIEocc","['akting', 'putricandrawathi', 'sidang', 'ganjar', 'dgn', 'piala', 'citra', 'sbg', 'per', 'wanita', 'baik', 'she', 'shows', 'up', 'at', 'the', 'court', 'w', 'puffy', 'eyes', 'very', 'visible', 'under', 'eye', 'bags', 'a', 'lot', 'of', 'tears', 'too', 'of', 'course', 'her', 'last', 'best', 'shot', '', 'brigadirj']",akting putricandrawathi sidang ganjar dgn piala citra sbg per wanita baik she shows up at the court w puffy eyes very visible under eye bags a lot of tears too of course her last best shot brigadirj
lensaRTV,2023-01-11 06:00:57,"Meski mengaku sebagai korban dugaan pelecehan seksual, Putri Candrawathi memilih tidak melakukan visum. Putri mengatakan, dirinya merasa malu dan khawatir suaminya tidak mencintai lagi.
#sidang #putricandrawathi #pcmenangis #visum #sidanglanjutan #pembunuhan #brigadirj https://t.co/uClMiaiRoe","Meski mengaku sebagai korban dugaan pelecehan seksual, Putri Candrawathi memilih tidak melakukan visum. Putri mengatakan, dirinya merasa malu dan khawatir suaminya tidak mencintai lagi.
#sidang #putricandrawathi #pcmenangis #visum #sidanglanjutan #pembunuhan #brigadirj https://t.co/uClMiaiRoe","Meski mengaku sebagai korban dugaan pelecehan seksual, Putri Candrawathi memilih tidak melakukan visum. Putri mengatakan, dirinya merasa malu dan khawatir suaminya tidak mencintai lagi.
sidang putricandrawathi pcmenangis visum sidanglanjutan pembunuhan brigadirj https://t.co/uClMiaiRoe","['aku', 'korban', 'duga', 'leceh', 'seksual', 'putri', 'candrawathi', 'pilih', 'visum', 'putri', 'malu', 'khawatir', 'suami', 'cinta', 'sidang', 'putricandrawathi', 'pcmenangis', 'visum', 'sidanglanjutan', 'bunuh', 'brigadirj']",aku korban duga leceh seksual putri candrawathi pilih visum putri malu khawatir suami cinta sidang putricandrawathi pcmenangis visum sidanglanjutan bunuh brigadirj
jpnncom,2023-01-09 07:32:02,Pengakuan Ricky Rizal Ini Juga Membuat Hakim Morgan Merasa Heran #rickyrizal https://t.co/yNMVemh2ze,Pengakuan Ricky Rizal Ini Juga Membuat Hakim Morgan Merasa Heran #rickyrizal https://t.co/yNMVemh2ze,Pengakuan Ricky Rizal Ini Juga Membuat Hakim Morgan Merasa Heran rickyrizal https://t.co/yNMVemhze,"['aku', 'ricky', 'rizal', 'hakim', 'morgan', 'heran', 'rickyrizal']",aku ricky rizal hakim morgan heran rickyrizal
disway_id,2023-01-12 02:10:30,"Pengakuan Takut Putri Candrawathi Setelah Brigadir J Dibunuh, ‘Saya Bermimpi Buruk dan Depresi Berat!'

#PutriCandrawathi #Pembunuhan #brigadirJ

https://t.co/4xvkHQqr55","Pengakuan Takut Putri Candrawathi Setelah Brigadir J Dibunuh, ‘Saya Bermimpi Buruk dan Depresi Berat!'

#PutriCandrawathi #Pembunuhan #brigadirJ

https://t.co/4xvkHQqr55","Pengakuan Takut Putri Candrawathi Setelah Brigadir J Dibunuh, ‘Saya Bermimpi Buruk dan Depresi Berat!'

PutriCandrawathi Pembunuhan brigadirJ

https://t.co/xvkHQqr","['aku', 'takut', 'putri', 'candrawathi', 'brigadir', 'j', 'bunuh', '', 'mimpi', 'buruk', 'depresi', 'berat', 'putricandrawathi', 'bunuh', 'brigadirj']",aku takut putri candrawathi brigadir j bunuh mimpi buruk depresi berat putricandrawathi bunuh brigadirj
magalitorre02,2023-01-15 20:15:37,"SANGAT TERAMAT TDK MUNGKIN jika kematian #brigadirJ di sebabkan krn dia katanya memperkosa PC. Yg terjadi kemungkinan adlh Alm. Josua mengetahui rahasia besar #ferdysambo #PutriCandrawathi But, what was the secret about? Dinero, kah? #konsorsium303 #followthemoney https://t.co/tDJG0kd5jI","SANGAT TERAMAT TDK MUNGKIN jika kematian #brigadirJ di sebabkan krn dia katanya memperkosa PC. Yg terjadi kemungkinan adlh Alm. Josua mengetahui rahasia besar #ferdysambo #PutriCandrawathi But, what was the secret about? Dinero, kah? #konsorsium303 #followthemoney https://t.co/tDJG0kd5jI","SANGAT TERAMAT TDK MUNGKIN jika kematian brigadirJ di sebabkan krn dia katanya memperkosa PC. Yg terjadi kemungkinan adlh Alm. Josua mengetahui rahasia besar ferdysambo PutriCandrawathi But, what was the secret about? Dinero, kah? konsorsium followthemoney https://t.co/tDJGkdjI","['amat', 'tdk', 'mati', 'brigadirj', 'sebab', 'krn', 'perkosa', 'pc', 'yg', 'adlh', 'alm', 'josua', 'rahasia', 'ferdysambo', 'putricandrawathi', 'but', 'what', 'was', 'the', 'secret', 'about', 'dinero', 'kah', 'konsorsium', 'followthemoney']",amat tdk mati brigadirj sebab krn perkosa pc yg adlh alm josua rahasia ferdysambo putricandrawathi but what was the secret about dinero kah konsorsium followthemoney
